Station,Direction,criterion,max_depth,min_samples_leaf,min_samples_split,RMSE,MAE,MAPE
Suvarnabhumi,Arrival,absolute_error,10.0,1,10,1107.5069663143354,779.7652173913043,0.054330457462873225
Suvarnabhumi,Departure,squared_error,,4,20,757.1008818666525,543.0370829764194,0.04412889367576697
Makkasan,Arrival,poisson,10.0,2,10,981.2078193710729,710.3160217655468,0.0651593857455662
Makkasan,Departure,poisson,,1,5,1158.611730012216,844.2355072463768,0.07076071887056484
Ladkrabang,Arrival,poisson,10.0,4,2,676.7649904220528,472.36474774286694,0.048870357520842435
Ladkrabang,Departure,squared_error,,8,20,697.6341392598257,475.6788437237048,0.051049566710652396
Banthapchang,Arrival,poisson,,2,10,528.5878267325467,399.46476363008975,0.11351729936926352
Banthapchang,Departure,squared_error,,2,5,285.68241262004585,200.78229813664595,0.06653341556897532
Huamak,Arrival,poisson,10.0,8,20,600.8873928758027,461.48687843972033,0.07242260982407578
Huamak,Departure,poisson,10.0,2,2,671.5237879038228,556.5516829181415,0.09256162667142816
